name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Calça Super Wide Rosa,https://www.carmensteffens.com.br/HC306188929,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5687760122623894934/products/HC306188929_1.jpg,HC306188929,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P|PP|GG
Calça Pantalona Classic Print,https://www.carmensteffens.com.br/HC236939848,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1355117930668612193/products/HC236939848_1.jpg,HC236939848,ALTO VERAO 2025,VERAO 2026,2 Inferior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Blusa Tricô Assimétrica Bege,https://www.carmensteffens.com.br/HB916922244,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8005992950522070954/products/HB916922244_1.jpg,HB916922244,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Blusa Tricô Assimétrica Branca,https://www.carmensteffens.com.br/HB916922007,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v5281926766098473568/products/HB916922007_1.jpg,HB916922007,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Regata Tricô Bordada Branca,https://www.carmensteffens.com.br/HB876922007,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1190038317629754899/products/HB876922007_1.jpg,HB876922007,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P|PP
Regata Tricô Bordada Preta,https://www.carmensteffens.com.br/HB876922001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8261146316726514044/products/HB876922001_1.jpg,HB876922001,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|GG|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|P|PP|M
Regata Tricô Branca Alça Botões,https://www.carmensteffens.com.br/HB856922007,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v1948416704928309618/products/HB856922007_1.jpg,HB856922007,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P|PP,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P|PP|GG
Regata Tricô Preta Alça Botões,https://www.carmensteffens.com.br/HB856922001,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v8814801185208256594/products/HB856922001_1.jpg,HB856922001,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G|M|P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|GG|M|P
Camisa Ampla Du Jour,https://www.carmensteffens.com.br/HB776950637,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v247952400117029862/products/HB776950637_1.jpg,HB776950637,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,P,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|P|GG|PP
Camisa Garden Organza Off-white,https://www.carmensteffens.com.br/HB696057725,female,female,https://www.carmensteffens.com.br/ccstore/v1/images/?source=/file/v2177005640486530460/products/HB696057725_1.jpg,HB696057725,ALTO VERAO 2025,VERAO 2026,1 Superior,,GERAL (F) VERÃO 2023 - ALTO VERÃO 2025- VERÃO 2026,TRUE,,G,adult,adult,,clothes,,,,,0.0,BR,FALSE,,G|M|GG|P|PP
