name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
blusa decote gota,https://shop.skazioficial.com/290805,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290805_blusa-decote-gota-362002031_z1_639083721220609469.webp,290805,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
colete recortes vazados,https://shop.skazioficial.com/280591,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/05/280591_colete-recortes-vazados-502000086_z1_639083784949398307.webp,280591,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G|GG,adult,adult,,,,,,,0.0,BR,false,,
colete fenda detalhe gota,https://shop.skazioficial.com/280590,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/05/280590_colete-fenda-detalhe-gota-502000085_z1_639083784813747508.webp,280590,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G|GG,adult,adult,,,,,,,0.0,BR,false,,
vestido midi drapeado,https://shop.skazioficial.com/252706,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/25/27/252706_vestido-midi-drapeado-442005339_z1_639083208618284266.webp,252706,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
blusa musseline listras,https://shop.skazioficial.com/239234,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/23/92/239234_blusa-musseline-listras-362001792_z1_639083167938241938.webp,239234,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
blusa manga long,https://shop.skazioficial.com/undefined,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/27/24/272492_blusa-manga-long-362001866_z1_639083051940427544.webp,,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
macacao ombro drapeado,https://shop.skazioficial.com/288102,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/81/288102_macacao-ombro-drapeado-542001240_z1_639083737609055882.webp,288102,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
blusa bata cashmere,https://shop.skazioficial.com/285106,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/51/285106_blusa-bata-cashmere-362001977_z1_639083746163046312.webp,285106,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido curto tricot  ombro so,https://shop.skazioficial.com/280505,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/05/280505_vestido-curto-tricot-ombro-so-442005542_z4_639079068345275121.webp,280505,Skazi,Skazi,TRICOT,UNDEFINED,TRICOT (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
vestido curto mangas bufantes,https://shop.skazioficial.com/280560,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/05/280560_vestido-curto-mangas-bufantes-442005575_z1_639083783806723512.webp,280560,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
