name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes,,,,
body poliamida joice branco,https://www.shopinlove.com.br/body-poliamida-branco,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/c1/5c/12/5571c1fdef6b44b03fc8ca9b6d/body-poliamida-branco-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/c1/5c/12/5571c1fdef6b44b03fc8ca9b6d/body-poliamida-branco-large-1.jpg,,IL3243-00001,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
regata dupla luana branco,https://www.shopinlove.com.br/regata-branco-1,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/37/bf/20/e302d26efe20064db280414bc2/regata-branco-1-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/37/bf/20/e302d26efe20064db280414bc2/regata-branco-1-large-1.jpg,,IL3271-00001,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over sugar branco acucar,https://www.shopinlove.com.br/t-shirt-over-sugar-branco-acucar,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/25/14/8a/0ac86c7fcdaf14d92e08276dcc/t-shirt-over-sugar-branco-acucar-large-2.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/25/14/8a/0ac86c7fcdaf14d92e08276dcc/t-shirt-over-sugar-branco-acucar-large-2.jpg,,IL0009-00176,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
blusa alca clarice estampado,https://www.shopinlove.com.br/blusa-alca-estampado,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/b6/69/3a/58997a0a913f490c4a3e9bdd07/blusa-alca-estampado-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/b6/69/3a/58997a0a913f490c4a3e9bdd07/blusa-alca-estampado-large-1.jpg,,IL3291-00096,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
body poliamida joice preto,https://www.shopinlove.com.br/body-poliamida-preto,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/e4/73/8e/bdcc5e9157ecfc56486fea3fa9/body-poliamida-preto-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/e4/73/8e/bdcc5e9157ecfc56486fea3fa9/body-poliamida-preto-large-1.jpg,,IL3243-00002,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
regata sweetlace off white,https://www.shopinlove.com.br/regata-off-white,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/ac/0b/c4/8f5f6a9d9cf9afc2ab48bc1e70/regata-off-white-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/ac/0b/c4/8f5f6a9d9cf9afc2ab48bc1e70/regata-off-white-large-1.jpg,,IL3298-00004,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
calca aladim black preto,https://www.shopinlove.com.br/calca-aladim-preto,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/59/a5/04/78dfbb6e4645e891a5e420215d/calca-aladim-preto-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/59/a5/04/78dfbb6e4645e891a5e420215d/calca-aladim-preto-large-1.jpg,,IL3328-00002,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
t-shirt over sweet fade branco acucar,https://www.shopinlove.com.br/t-shirt-over-sweet-fade-branco-acucar,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/68/b4/42/d937d4d6b55eb0f4c2f0fd8ebf/t-shirt-over-sweet-fade-branco-acucar-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/68/b4/42/d937d4d6b55eb0f4c2f0fd8ebf/t-shirt-over-sweet-fade-branco-acucar-large-1.jpg,,IL0011-00176,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
regata canelada sweetlace marrom,https://www.shopinlove.com.br/regata-marrom,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/6b/00/ad/4d2d58698e5b937ecbfb84cbda/regata-marrom-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/6b/00/ad/4d2d58698e5b937ecbfb84cbda/regata-marrom-large-1.jpg,,IL3297-00005,In love,In love,1 SUPERIOR,Undefined,In Love (F),TRUE,,P|M|G|GG|G3|G4|G5,adult,adult,,clothes,,,,,0.0,BR,FALSE,,P|M|G|GG|G3|G4|G5
bermuda jeans julia jeans,https://www.shopinlove.com.br/bermuda-jeans-julia-jeans,female,female,"https://adaptive-images.uooucdn.com.br/ik-seo/tr:w-1100,h-1594,c-at_max,pr-true,q-90/a22495-ogxytngyqt0/pv/36/51/f4/dce80be1f1b356ae5f833c5624/bermuda-jeans-julia-jeans-large-1.jpg","h-1594""","c-at_max""","pr-true""",q-90/a22495-ogxytngyqt0/pv/36/51/f4/dce80be1f1b356ae5f833c5624/bermuda-jeans-julia-jeans-large-1.jpg,,IL3322-00022,In love,In love,2 INFERIOR,Undefined,In Love (F),TRUE,,34|36|38|40|42|44|46|48|50|52|54,adult,adult,,clothes,,,,,0.0,BR,FALSE,,34|36|38|40|42|44|46|48|50|52|54
