name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
Pro Line Short Mujer,https://www.monkyforce.com/156370983,female,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/4e94bbb5-a005-4406-a5fb-d6a372efc4bb1-640-0-640-0-cc8f7489133ae5df7b16758144707187-1024-1024.jpeg,156370983,Monky Force,--,INDUMENTARIA MUJER,INDUMENTARIA MUJER,Short de mujeres,true,,XS|XS|S|S|M|M|L|L|XL|XL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Essential Crop,https://www.monkyforce.com/153432212,female,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/tienda-nube-5811-fcc192a17811630c0b16741417508408-1024-1024.png,153432212,Monky Force,--,Top,INDUMENTARIA MUJER,Prendas de arriba femenina,true,,S|S|S|M|M|M|L|L|L|XL|XL|XL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL
Soxx Monky Blanco,https://www.monkyforce.com/147719451,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/543652c2-5ca9-4ab7-829e-b6321cd3e5081-0817b9c4ba5daadc0816712731020729-1024-1024.jpeg,147719451,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Bandana Kamikaze Cielo,https://www.monkyforce.com/133949174,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/bandanas-1081-88a69341522b1bb58616696558739068-1024-1024.png,133949174,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Bandana Kamikaze Infierno,https://www.monkyforce.com/133948246,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/bandanas-1071-c161e321a48cd5876d16696558960011-1024-1024.png,133948246,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Toalla /// Gym Towel,https://www.monkyforce.com/127323502,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/buzos-981-94387d3ad3dd5e2f4216692333212104-1024-1024.png,127323502,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Sensation Gloves 3.0,https://www.monkyforce.com/126994159,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/magiceraser_250509_212835-27bccc149bf2d108c117468369264373-1024-1024.jpeg,126994159,--,--,NEW DROPS,NEW DROPS,,false,,Talle unico,adult,adult,,,,,,,0.0,BR,false,,
Rack estacion 4,https://www.monkyforce.com/126751716,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/untitled-4-111-0b4444b900f306b8c816954119193297-1024-1024.png,126751716,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
JM 7 Celdas,https://www.monkyforce.com/126074119,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/whatsapp-image-2023-10-18-at-12-02-54-a5b90702aff6c2c58116981668170492-1024-1024.jpeg,126074119,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
JM 5 Celdas,https://www.monkyforce.com/126074059,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/celdascreativos-feed-6e7c1f4b98d9973fee169816561260641-ce8b03a0ed3322a3f716981665019016-1024-1024.png,126074059,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
